id_uf,sigla_uf,nome_uf,ano,indicador_medio,indicador_min,indicador_max,total_municipios,municipios_meta_atingida,matriculas_total,pct_municipios_meta_atingida,variacao_yoy
24,RN,RIO GRANDE DO NORTE,2024,65.88,40.8,96.85,206,191,342725,92.72,1.47
25,PB,PARAIBA,2021,61.04,40.95,81.21,206,182,468403,88.35,0.0
25,PB,PARAIBA,2022,62.53,40.16,84.96,206,184,468403,89.32,1.49
25,PB,PARAIBA,2023,63.77,39.7,83.99,206,187,468403,90.78,1.24
25,PB,PARAIBA,2024,64.99,37.29,88.55,206,188,468403,91.26,1.22
26,PE,PERNAMBUCO,2021,61.84,41.47,80.51,206,183,431344,88.83,0.0
26,PE,PERNAMBUCO,2022,63.02,40.49,84.5,206,185,431344,89.81,1.18
26,PE,PERNAMBUCO,2023,64.57,42.2,90.33,206,193,431344,93.69,1.55
26,PE,PERNAMBUCO,2024,66.37,39.95,92.22,206,194,431344,94.17,1.8
27,AL,ALAGOAS,2021,61.99,40.58,83.54,206,185,430752,89.81,0.0
27,AL,ALAGOAS,2022,63.55,40.79,88.29,206,188,430752,91.26,1.56
27,AL,ALAGOAS,2023,64.97,42.76,91.9,206,193,430752,93.69,1.42
27,AL,ALAGOAS,2024,66.3,40.29,94.35,206,197,430752,95.63,1.33
28,SE,SERGIPE,2021,61.84,45.31,79.1,206,188,391805,91.26,0.0
28,SE,SERGIPE,2022,63.21,38.05,83.81,206,192,391805,93.2,1.37
28,SE,SERGIPE,2023,64.71,40.86,84.84,206,192,391805,93.2,1.5
28,SE,SERGIPE,2024,66.3,36.24,88.5,206,196,391805,95.15,1.59
29,BA,BAHIA,2021,60.87,39.83,78.51,206,177,490593,85.92,0.0
29,BA,BAHIA,2022,62.11,38.98,82.42,206,181,490593,87.86,1.24
29,BA,BAHIA,2023,63.65,35.38,86.17,206,187,490593,90.78,1.54
29,BA,BAHIA,2024,65.32,34.76,91.02,206,193,490593,93.69,1.67
31,MG,MINAS GERAIS,2021,61.23,41.25,81.28,206,173,403271,83.98,0.0
31,MG,MINAS GERAIS,2022,62.78,38.73,84.69,206,180,403271,87.38,1.55
31,MG,MINAS GERAIS,2023,63.93,40.36,87.44,206,188,403271,91.26,1.15
31,MG,MINAS GERAIS,2024,65.59,42.99,91.38,206,190,403271,92.23,1.66
32,ES,ESPIRITO SANTO,2021,61.16,41.79,81.69,206,177,419025,85.92,0.0
32,ES,ESPIRITO SANTO,2022,62.81,38.67,84.37,206,185,419025,89.81,1.65
32,ES,ESPIRITO SANTO,2023,64.2,38.5,87.88,206,186,419025,90.29,1.39
32,ES,ESPIRITO SANTO,2024,65.83,40.51,95.57,206,190,419025,92.23,1.63
33,RJ,RIO DE JANEIRO,2021,61.83,41.86,78.63,206,182,442249,88.35,0.0
33,RJ,RIO DE JANEIRO,2022,63.22,42.23,84.7,206,185,442249,89.81,1.39
33,RJ,RIO DE JANEIRO,2023,64.54,41.48,91.15,206,189,442249,91.75,1.32
33,RJ,RIO DE JANEIRO,2024,66.23,39.06,93.34,206,193,442249,93.69,1.69
35,SP,SAO PAULO,2021,61.59,41.21,79.68,206,186,402930,90.29,0.0
35,SP,SAO PAULO,2022,63.0,42.83,85.16,206,193,402930,93.69,1.41
35,SP,SAO PAULO,2023,64.73,41.64,92.82,206,193,402930,93.69,1.73
35,SP,SAO PAULO,2024,66.06,43.93,90.9,206,195,402930,94.66,1.33
41,PR,PARANA,2021,61.72,42.96,80.56,206,178,485042,86.41,0.0
41,PR,PARANA,2022,63.19,39.06,83.79,206,185,485042,89.81,1.47
41,PR,PARANA,2023,64.81,43.0,87.23,206,188,485042,91.26,1.62
41,PR,PARANA,2024,66.1,40.49,96.38,206,194,485042,94.17,1.29
42,SC,SANTA CATARINA,2021,62.05,40.54,82.28,206,181,525161,87.86,0.0
42,SC,SANTA CATARINA,2022,63.57,41.71,86.4,206,188,525161,91.26,1.52
42,SC,SANTA CATARINA,2023,65.24,41.03,89.6,206,190,525161,92.23,1.67
42,SC,SANTA CATARINA,2024,67.11,45.49,93.82,206,195,525161,94.66,1.87
43,RS,RIO GRANDE DO SUL,2021,60.86,39.22,80.79,206,178,458341,86.41,0.0
43,RS,RIO GRANDE DO SUL,2022,61.74,41.52,83.47,206,182,458341,88.35,0.88
43,RS,RIO GRANDE DO SUL,2023,63.41,36.85,86.25,206,186,458341,90.29,1.67
43,RS,RIO GRANDE DO SUL,2024,64.45,37.66,87.31,206,185,458341,89.81,1.04
50,MS,MATO GROSSO DO SUL,2021,61.97,44.75,83.46,206,187,521112,90.78,0.0
50,MS,MATO GROSSO DO SUL,2022,63.37,41.66,84.18,206,194,521112,94.17,1.4
50,MS,MATO GROSSO DO SUL,2023,64.81,40.17,88.65,206,191,521112,92.72,1.44
50,MS,MATO GROSSO DO SUL,2024,65.94,35.86,92.18,206,194,521112,94.17,1.13
51,MT,MATO GROSSO,2021,61.65,40.38,81.19,206,185,450609,89.81,0.0
51,MT,MATO GROSSO,2022,63.6,39.61,83.64,206,186,450609,90.29,1.95
51,MT,MATO GROSSO,2023,65.09,37.81,90.28,206,189,450609,91.75,1.49
51,MT,MATO GROSSO,2024,66.59,38.47,94.07,206,192,450609,93.2,1.5
52,GO,GOIAS,2021,62.8,40.49,81.09,206,186,452055,90.29,0.0
52,GO,GOIAS,2022,64.08,41.45,86.29,206,189,452055,91.75,1.28
52,GO,GOIAS,2023,65.39,42.66,90.24,206,191,452055,92.72,1.31
52,GO,GOIAS,2024,66.88,42.21,92.11,206,198,452055,96.12,1.49
53,DF,DISTRITO FEDERAL,2021,61.91,42.76,81.95,206,184,472746,89.32,0.0
53,DF,DISTRITO FEDERAL,2022,63.72,43.18,83.52,206,186,472746,90.29,1.81
53,DF,DISTRITO FEDERAL,2023,65.28,40.98,88.67,206,189,472746,91.75,1.56
53,DF,DISTRITO FEDERAL,2024,66.64,39.51,94.05,206,193,472746,93.69,1.36
